15;213;Starwing/Star Fox
15;214;Super Mario All*Stars
15;215;Super Mario Kart
15;216;Super Mario World
15;217;Super R-type
15;218;Super Star Wars
15;219;Syndicate
15;220;Ultimate mortal kombat 3
14;221;Mario's tennis 
14;222;Panic bomber 
14;223;Vertical force 
14;224;Vtetris 
40;225;Dragon Ball revenge of king piccolo 
40;226;EA sport active 
40;227;Final Fantasy Crystal Chronicles Echoes of Time
40;228;Just dance 
40;229;Mario Kart Wii 
40;230;New Super Mario Bros. Wii 
40;231;Skate it 
40;232;Trauma Center : New Blood 
40;233;Wii fit 
40;234;Wii play 
40;235;Wii sports 
7;236;Space Harrier
7;237;Motocross Championship
7;238;Virtua Fighters
7;239;Virtua Racing
9;240;NHL 
9;241;Phantasy star online 
9;242;Quake III arena 
9;243;Sonic adventure 
9;244;Sonic adventure 2 the trial 
9;245;Soul calibur 
9;246;SWWS 2000 
9;247;Virtua Fighter 3tb
9;248;Virtua tennis 
1;249;Ax battler a legend of golden axe 
1;250;Hook 
1;251;Sonic the Hedgehog 
1;252;Virtua Fighter Kids
2;253;Action fighter 
2;254;Alex kidd in shinobi world 
2;255;Astérix 
2;256;Bomber raid 
2;257;Casino games 
2;258;Castle of illusion starring mickey mouse 
2;259;Golden axe 
2;260;Klax 
2;261;Kung fu kid 
2;262;Moonwalker
2;263;Paperboy 
2;264;Psycho fox 
2;265;Rampart 
2;266;RC grand prix 
2;267;Shinobi
2;268;Super space invaders 
2;269;The cyber shinobi 
2;271;The ninja 
2;272;Thunder blade 
2;273;Ultima IV 
3;253;Action fighter 
3;254;Alex kidd in shinobi world 
3;255;Astérix 
3;256;Bomber raid 
3;257;Casino games 
3;258;Castle of illusion starring mickey mouse 
3;259;Golden axe 
3;260;Klax 
3;261;Kung fu kid 
3;262;Moonwalker
3;263;Paperboy 
3;264;Psycho fox 
3;265;Rampart 
3;266;RC grand prix 
3;267;Shinobi
3;268;Super space invaders 
3;269;The cyber shinobi 
3;270;The cyber shinobi 
3;271;The ninja 
3;272;Thunder blade 
3;273;Ultima IV 
6;274;Ecco the dolphin
6;275;Dune
6;276;Sol-Deace
4;277;Aladdin 
4;278;Castle of illusion starring mickey mouse 
4;279;Comix Zone 
4;280;Cool spot 
4;281;David robinson's supreme court 
4;282;Disney tales spin 
4;283;Donald in maui mallard 
4;284;Ecco the Dolphin 
4;285;Evander holyfield's boxing 
4;286;Fatal Fury 
4;287;Fatal Fury 2 
4;288;fifa 1995 
4;289;Fifa 1996 
4;290;Fifa 1997 
4;291;Le roi lion 
4;292;Micromachines 
4;293;Monaco GP 2 
4;294;Moonwalker
4;295;Mortal Kombat 
4;296;Mortal Kombat 2 
4;297;Olympic gold 
4;298;Outrun
4;299;Pitfall: The Mayan Adventure 
4;300;Quackshot 
4;301;Rocket knight adventures 
4;302;Sonic 3D Flickies' Island
4;303;Sonic compilation (1,2 et Dr. Robotnik's Mean Bean Machine) 
4;304;Sonic spinball 
4;305;Sonic the Hedgehog 
4;306;Sonic the Hedgehog 2 
4;307;Sonic the Hedgehog 3 
4;308;Streets of rage 
4;309;Super Hang-on
4;310;Tazmania 
4;311;Teenage Mutant Hero Turtles: The HyperStone Heist 
4;312;The Incredible Crash Dummies 
4;313;The lucky dime carer donald duck 
4;314;Winter Olympics
4;315;Wonder boy III monster land 
4;316;World of illusion starring disney's mickey mouse & donald duck 
5;277;Aladdin 
5;278;Castle of illusion starring mickey mouse 
5;279;Comix Zone 
5;280;Cool spot 
5;281;David robinson's supreme court 
5;282;Disney tales spin 
5;283;Donald in maui mallard 
5;284;Ecco the Dolphin 
5;285;Evander holyfield's boxing 
5;286;Fatal Fury 
5;287;Fatal Fury 2 
5;288;fifa 1995 
5;289;Fifa 1996 
5;290;Fifa 1997 
5;291;Le roi lion 
5;292;Micromachines 
5;293;Monaco GP 2 
5;294;Moonwalker
5;295;Mortal Kombat 
5;296;Mortal Kombat 2 
5;297;Olympic gold 
5;298;Outrun
5;299;Pitfall: The Mayan Adventure 
5;300;Quackshot 
5;301;Rocket knight adventures 
5;302;Sonic 3D Flickies' Island
5;303;Sonic compilation (1,2 et Dr. Robotnik's Mean Bean Machine) 
5;304;Sonic spinball 
5;305;Sonic the Hedgehog 
5;306;Sonic the Hedgehog 2 
5;307;Sonic the Hedgehog 3 
5;308;Streets of rage 
5;309;Super Hang-on
5;310;Tazmania 
