65;1;29;4;1;Val D'Isere Skiing and Snowboarding;http://fr.wikipedia.org/wiki/Val_d%27Is%C3%A8re_Skiing_and_Snowboarding;no-image.png
66;1;29;4;1;Trevor McFur in the Crescent Galaxy;http://fr.wikipedia.org/wiki/Trevor_McFur_in_the_Crescent_Galaxy;no-image.png
67;1;29;4;1;FlipOut;http://fr.wikipedia.org/wiki/Flip_Out!;no-image.png
68;1;29;4;1;Ruiner Pinball;http://fr.wikipedia.org/wiki/Ruiner_Pinball;no-image.png
69;1;29;4;1;Flashback;http://fr.wikipedia.org/wiki/Flashback:_The_Quest_for_Identity;no-image.png
70;1;29;4;1;Zool2;http://fr.wikipedia.org/wiki/Zool_2;no-image.png
71;1;29;4;2;Kasumi Ninja;http://fr.wikipedia.org/wiki/Kasumi_Ninja;no-image.png
72;1;29;14;3;Raiden;http://fr.wikipedia.org/wiki/Raiden_%28jeu_vid%C3%A9o%29;no-image.png
73;1;29;15;1;Fever Pitch Soccer;;no-image.png
74;1;29;16;4;Brutal Sports Football;http://fr.wikipedia.org/wiki/Brutal_Football:_Brutal_Sports_Series;no-image.png
75;1;29;17;5;Pinball Fantasies;http://fr.wikipedia.org/wiki/Pinball_Fantasies;no-image.png
76;1;29;8;1;Troy Aikman NFL Football;http://fr.wikipedia.org/wiki/Troy_Aikman_NFL_Football;no-image.png
77;1;29;62;1;Hover Strike;;no-image.png
78;1;29;4;6;White Men Can't Jump;;no-image.png
79;1;29;62;1;Club Drive;;no-image.png
80;1;29;62;1;SuperCross 3D;;no-image.png
81;1;30;4;1;Hover Strike : Unconquered Lands;http://fr.wikipedia.org/wiki/Hover_Strike:_Unconquered_Lands;no-image.png
82;1;30;4;1;Myst Demo;http://fr.wikipedia.org/wiki/Myst;no-image.png
83;1;30;4;1;Myst;http://fr.wikipedia.org/wiki/Myst;no-image.png
84;1;30;4;1;Highlander : The Last of the MacLeods;http://fr.wikipedia.org/wiki/Highlander:_The_Last_of_the_MacLeods;no-image.png
85;1;30;4;1;Blue Lightning;http://fr.wikipedia.org/wiki/Blue_Lightning_%28Jaguar%29;no-image.png
86;1;30;18;1;Dragon's Lair ;http://fr.wikipedia.org/wiki/Dragon%27s_Lair;no-image.png
87;1;30;18;1;Space Ace ;http://fr.wikipedia.org/wiki/Space_Ace;no-image.png
88;1;30;4;1;Vid Grid ;http://fr.wikipedia.org/wiki/Vid_Grid;no-image.png
89;1;30;4;1;Battlemorph;http://fr.wikipedia.org/wiki/Battlemorph;no-image.png
90;1;30;4;1;Baldies;http://fr.wikipedia.org/wiki/Baldies;no-image.png
91;1;28;4;1;Batman Returns;http://fr.wikipedia.org/wiki/Batman_Returns_%28jeu_vid%C3%A9o%29;no-image.png
92;1;33;62;1;Armor Battle ;;no-image.png
93;1;33;62;1;Auto Racing ;;no-image.png
94;1;33;62;1;Baseball ;;no-image.png
95;1;33;62;1;Boxing ;;no-image.png
96;1;33;62;1;Checkers ;;no-image.png
97;1;33;62;1;Football ;;no-image.png
98;1;33;62;1;Frog Bog ;;no-image.png
99;1;33;62;1;Lock 'N Chase ;;no-image.png
100;1;33;62;1;Snafu ;;no-image.png
101;1;33;62;1;Soccer ;;no-image.png
102;1;33;62;1;Space Battle ;;no-image.png
103;1;33;62;1;Star Strike ;;no-image.png
104;1;33;62;1;Sub Hunt ;;no-image.png
105;1;33;62;1;Tennis ;;no-image.png
106;1;33;62;1;Triple Action ;;no-image.png
107;1;33;5;1;Zaxxon ;http://fr.wikipedia.org/wiki/Zaxxon;no-image.png
108;1;34;19;1;Burnout 3 takedown ;http://fr.wikipedia.org/wiki/Burnout_3:_Takedown;no-image.png
109;1;34;19;1;Fifa 2004 ;http://fr.wikipedia.org/wiki/FIFA_Football_2004;no-image.png
110;1;34;20;1;Halo : Combat Evolved;http://fr.wikipedia.org/wiki/Halo:_Combat_Evolved;no-image.png
