;Genre;Console;Editeur;Developpeur;Version;Titre;Complement version;Etat;Boite;Etat boite;Notice;Etat notice;Informations;Cotation;Lien
;FPS;Jaguar;Atari;1;;Doom;;9;1;9;1;9;manque l'insert manette;;http://fr.wikipedia.org/wiki/Doom_%28jeu_vid%C3%A9o%29
;Stratégie ;Jaguar;Ocean;1;;Syndicate;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Syndicate_%28jeu_vid%C3%A9o%29
;FPS;Jaguar;Atari;1;;Alien versus Predator;;7;1;7;1;7;;;http://fr.wikipedia.org/wiki/Alien_vs._Predator_%28Jaguar%29
;FPS;Jaguar;Atari;1;;Wolfenstein 3D;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Wolfenstein_3D
;Arcade karting ;Jaguar;Atari;1;;Atari Karts;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Atari_Karts
;Plate-forme 2D ;Jaguar;Ubisoft;1;;Rayman;;8;1;10;0;;;;http://fr.wikipedia.org/wiki/Rayman_%28jeu_vid%C3%A9o%29
;Shoot them up ;Jaguar;Atari;1;;Tempest 2000;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Tempest_2000
;Plate-forme 2D ;Jaguar;Atari;1;;Pitfall: The Mayan Adventure;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Pitfall:_The_Mayan_Adventure
;Simulation ski;Jaguar;Atari;1;;Val D'Isere Skiing and Snowboarding;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Val_d%27Is%C3%A8re_Skiing_and_Snowboarding
;Shoot them up;Jaguar;Atari;1;;Trevor McFur in the Crescent Galaxy;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Trevor_McFur_in_the_Crescent_Galaxy
;Puzzle game;Jaguar;Atari;1;;FlipOut;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Flip_Out!
;Flipper;Jaguar;Atari;1;;Ruiner Pinball;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Ruiner_Pinball
;;Jaguar;Atari;1;;Flashback;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Flashback:_The_Quest_for_Identity
;Plate-forme 2D;Jaguar;Atari;1;;Zool2;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Zool_2
;Combat 2D;Jaguar;Atari;2;;Kasumi Ninja;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Kasumi_Ninja
;Shoot them up;Jaguar;Fabtek;3;;Raiden;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Raiden_%28jeu_vid%C3%A9o%29
;Simulation foot;Jaguar;U.S. Gold;1;;Fever Pitch Soccer;;10;1;10;1;10;neuf emballé;;
;Arcade football américain;Jaguar;Millennium Interactive;4;;Brutal Sports Football;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Brutal_Football:_Brutal_Sports_Series
;Flipper;Jaguar;21st Century;5;;Pinball Fantasies;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Pinball_Fantasies
;Simulation football américain;Jaguar;Williams;1;;Troy Aikman NFL Football;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Troy_Aikman_NFL_Football
;;Jaguar;;1;;Hover Strike;;10;1;10;1;10;neuf emballé;;
;Arcade basket;Jaguar;Atari;6;;White Men Can't Jump;;10;1;10;1;10;neuf emballé + multitap;;
;;Jaguar;;1;;Club Drive;;10;1;10;1;10;neuf emballé;;
;;Jaguar;;1;;SuperCross 3D;;10;1;10;1;10;neuf emballé;;
;;;;1;;;;;;;;;;;
;;;;1;;Jaguar cd (Atari);;;;;;;;;
;Space battle;Jaguar cd;Atari;1;;Hover Strike : Unconquered Lands;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Hover_Strike:_Unconquered_Lands
;Aventure ;Jaguar cd;Atari;1;;Myst Demo;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Myst
;Aventure ;Jaguar cd;Atari;1;;Myst;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Myst
;Aventure ;Jaguar cd;Atari;1;;Highlander : The Last of the MacLeods;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Highlander:_The_Last_of_the_MacLeods
;Arcade aérienne;Jaguar cd;Atari;1;;Blue Lightning;;5;1;5;1;5;;;http://fr.wikipedia.org/wiki/Blue_Lightning_%28Jaguar%29
;Aventure ;Jaguar cd;Readysoft;1;;Dragon's Lair ;;7;1;7;1;7;;;http://fr.wikipedia.org/wiki/Dragon%27s_Lair
;Aventure ;Jaguar cd;Readysoft;1;;Space Ace ;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Space_Ace
;Puzzle game;jaguar cd;Atari;1;;Vid Grid ;;5;1;5;1;5;;;http://fr.wikipedia.org/wiki/Vid_Grid
;Space battle;jaguar cd;Atari;1;;Battlemorph;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Battlemorph
;Good Game;jaguar cd;Atari;1;;Baldies;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Baldies
;;;;1;;;;;;;;;;;
;;;;1;;Lynx (Atari);;;;;;;;;
;Beat them all;Lynx (1&2);Atari;1;;Batman Returns;;;;;;;;;http://fr.wikipedia.org/wiki/Batman_Returns_%28jeu_vid%C3%A9o%29
;;;;1;;;;;;;;;;;
;;;;1;;Intelivision (Mattel);;;;;;;;;
;Arcade char d'assaut;Intellivision;;1;;Armor Battle ;;;;;;;;;
;Arcade voiture ;Intellivision;;1;;Auto Racing ;;;;;;;;;
;Simulation Baseball;Intellivision;;1;;Baseball ;;;;;;;;;
;Simulation boxe;Intellivision;;1;;Boxing ;;;;;;;;;
