;Genre;Console;Editeur;Developpeur;Version;Titre;Complement version;Etat;Boite;Etat boite;Notice;Etat notice;Informations;Cotation;Lien
;RPG;Super Famicom;Squaresoft;1;JAP;Final fantasy V;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Final_Fantasy_V
;RPG;Super Famicom;Squaresoft;1;JAP;Final fantasy V;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Final_Fantasy_V
;RPG;Super Famicom;Squaresoft;1;JAP;Final Fantasy VI ;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Final_Fantasy_VI
;RPG;Super Famicom;Squaresoft;1;JAP;Final Fantasy VI ;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Final_Fantasy_VI
;Combat 2D;Super Famicom;Bandai;1;JAP;DragonballZ 2;;7;0;;0;;;15 €;
;Plate-forme 2D;Super Famicom;Nintendo;1;JAP;Super Metroid;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Super_Metroid
;;;;1;;;;;;;;;;;
;;;;1;;Super Nintendo (Nintendo);;;;;;;;;
;Plate-forme 2D;Super Nintendo;Nintendo;1;EU;Donkey Kong Country ;;;;;;;;;http://fr.wikipedia.org/wiki/Donkey_Kong_Country
;Action-aventure ;Super Nintendo;U.S. Gold;1;EU;Flashback : The Quest for Identity;;9;1;9;1;9;;15 €;http://fr.wikipedia.org/wiki/Flashback:_The_Quest_for_Identity
;Plate-forme 2D;Super Nintendo;Infogrames;1;EU;Les Schtroumpfs ;;;;;;;;;http://fr.wikipedia.org/wiki/Les_Schtroumpfs_%28jeu_vid%C3%A9o,_1994%29
;Combat 2D;Super Nintendo;Aklaim Entertainment;1;EU;Mortal Combat;;7;1;7;0;;;15 €;http://fr.wikipedia.org/wiki/Mortal_Kombat_%28jeu_vid%C3%A9o,_1992%29
;Plate-forme 2D;Super Nintendo;Virgin Interactive;1;EU;Pinocchio ;;;;;;;;;http://fr.wikipedia.org/wiki/Pinocchio_%28jeu_vid%C3%A9o%29
;Arcade aériene ;Super Nintendo;Nintendo;1;EU;Starwing/Star Fox;;7;1;5;0;;;10 €;http://fr.wikipedia.org/wiki/Starwing
;Plate-forme 2D;Super Nintendo;Nintendo;1;EU;Super Mario All*Stars;;7;0;;0;;;15 €;http://fr.wikipedia.org/wiki/Super_Mario_All-Stars
;Arcade karting ;Super Nintendo;Nintendo;1;EU;Super Mario Kart;;7;1;5;1;7;;30 €;http://fr.wikipedia.org/wiki/Super_Mario_Kart
;Plate-forme 2D;Super Nintendo;Nintendo;1;EU;Super Mario World;;;;;;;;;http://fr.wikipedia.org/wiki/Super_Mario_World
;shoot them up;Super Nintendo;Nintendo;1;EU;Super R-type;;9;1;9;1;9;;15 €;http://fr.wikipedia.org/wiki/Super_R-Type
;Action-aventure ;Super Nintendo;Nintendo;1;EU;Super Star Wars;;9;1;9;1;9;;15 €;
;Stratégie ;Super Nintendo;EA;1;EU;Syndicate;;7;0;;0;;;5 €;http://fr.wikipedia.org/wiki/Syndicate_%28jeu_vid%C3%A9o%29
;Combat 2D;Super Nintendo;Midway;1;EU;Ultimate mortal kombat 3;;;;;;;;;http://fr.wikipedia.org/wiki/Liste_de_jeux_Super_Nintendo
;;;;1;;;;;;;;;;;
;;;;1;;Virtual Boy (Nintendo);;;;;;;;;
;Arcade tennis;Vitual Boy;Nintendo;1;;Mario's tennis ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Mario%27s_Tennis
;Puzzle game;Vitual Boy;Hudson Soft/Nintendo;1;;Panic bomber ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Panic_Bomber
;Shoot them up;Vitual Boy;Hudson Soft/Nintendo;1;;Vertical force ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Vertical_Force
;Puzzle game;Vitual Boy;Bullet-Proof Software;1;;Vtetris ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/V-Tetris
;;;;1;;;;;;;;;;;
;;;;1;;Wii (Nintendo);;;;;;;;;
;Beat them all;Wii;Namco/Bandai;1;EU;Dragon Ball revenge of king piccolo ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Dragon_Ball:_Revenge_of_King_Piccolo
;Coaching sportif;Wii;EA;1;EU;EA sport active ;;9;1;9;1;9;;;
;Tactic-RPG;Wii;SquareEnix;1;EU;Final Fantasy Crystal Chronicles Echoes of Time;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_Crystal_Chronicles:_Echoes_of_Time
;Simulation de danse ;Wii;Ubisoft;1;EU;Just dance ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Just_Dance_%28jeu_vid%C3%A9o%29
;Arcade karting ;Wii;Nintendo;1;EU;Mario Kart Wii ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Mario_Kart_Wii
;Plate-forme 2D;Wii;Nintendo;1;EU;New Super Mario Bros. Wii ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/New_Super_Mario_Bros._Wii
;Simulation skate ;Wii;EA;1;EU;Skate it ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Skate_It
;point and click ;Wii;Atlus;1;EU;Trauma Center : New Blood ;;9;1;9;1;9;;;
;Coaching sportif;Wii;Nintendo;1;EU;Wii fit ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Wii_Fit
;Mini jeux;Wii;Nintendo;1;EU;Wii play ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Wii_Play
;Simulation sportive ;Wii;Nintendo;1;EU;Wii sports ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Wii_Sports
;;;;1;;;;;;;;;;;
;;;;1;;32x (SEGA);;;;;;;;;
;Shoot them up;32x;sega;1;EU;Space Harrier;;7;1;7;1;7;;30 €;http://fr.wikipedia.org/wiki/Space_Harrier
;Arcade motocross ;32x;sega;1;EU;Motocross Championship;;7;0;;0;;;5 €;http://fr.wikipedia.org/wiki/Motocross_Championship
;combat 3D;32x;sega;1;EU;Virtua Fighters;;7;1;7;1;7;;;http://fr.wikipedia.org/wiki/Virtua_Fighter
;Simulation voiture;32x;sega;1;EU;Virtua Racing;;7;1;7;1;7;;;http://fr.wikipedia.org/wiki/Virtua_Racing
;;;;1;;;;;;;;;;;
;;;;1;;Dreamcast (SEGA);;;;;;;;;
;Simulation Hockey ;Dreamcast;2K Sports;1;;NHL ;;;;;;;;;
;Hack and slash ;Dreamcast;Sega;1;;Phantasy star online ;;;;;;;;;http://fr.wikipedia.org/wiki/Phantasy_Star_Online
;FPS;Dreamcast;Activision;1;;Quake III arena ;;;;;;;;;http://fr.wikipedia.org/wiki/Quake_III_Arena
;Action-aventure ;Dreamcast;Sega;1;;Sonic adventure ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_Adventure
;Action-aventure ;Dreamcast;Sega;1;;Sonic adventure 2 the trial ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_Adventure_2
;combat 3D;Dreamcast;Namco;1;;Soul calibur ;;;;;;;;;http://fr.wikipedia.org/wiki/Soul_Calibur
;Simulation foot;Dreamcast;;1;;SWWS 2000 ;;;;;;;;;
;combat 3D;Dreamcast;;1;;Virtua Fighter 3tb;;;;;;;;;
;Simulation tennis ;Dreamcast;Sega;1;;Virtua tennis ;;;;;;;;;http://fr.wikipedia.org/wiki/Virtua_Tennis
;;;;1;;;;;;;;;;;
;;;;1;;Game Gear (SEGA);;;;;;;;;
;Beat them all;Game Gear;;1;;Ax battler a legend of golden axe ;;;;;;;;;
;Action;Game Gear;Sony Imagesoft;1;;Hook ;;;;;;;;;http://fr.wikipedia.org/wiki/Hook_%28jeu_vid%C3%A9o,_Sony_Imagesoft%29
;Plate-forme 2D;Game Gear;Sega;1;;Sonic the Hedgehog ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_the_Hedgehog_%28jeu_vid%C3%A9o,_1991%29
;Combat 2D;Game Gear;;1;;Virtua Fighter Kids;;;;;;;;;
;;;;1;;;;;;;;;;;
;;;;1;;Master System (SEGA);;;;;;;;;
;Combat 2D;Master System 1&2;Sega;1;;Action fighter ;;;;;;;;;http://fr.wikipedia.org/wiki/Action_Fighter
;Plate-forme 2D;Master System 1&2;Sega;1;;Alex kidd in shinobi world ;;;;;;;;;http://fr.wikipedia.org/wiki/Alex_Kidd_in_Shinobi_World
;Plate-forme 2D;Master System 1&2;Sega;1;;Astérix ;;;;;;;;;http://fr.wikipedia.org/wiki/Ast%C3%A9rix_%28Master_System%29
;shoot them up;Master System 1&2;Sega;1;;Bomber raid ;;;;;;;;;http://fr.wikipedia.org/wiki/Bomber_Raid
;Jeux de casino ;Master System 1&2;;1;;Casino games ;;;;;;;;;
;Plate-forme 2D;Master System 1&2;Sega;1;;Castle of illusion starring mickey mouse ;;;;;;;;;http://fr.wikipedia.org/wiki/Castle_of_Illusion
;beat them all;Master System 1&2;Sega;1;;Golden axe ;;;;;;;;;http://fr.wikipedia.org/wiki/Golden_Axe
;Réflexion;Master System 1&2;Atari;1;;Klax ;;;;;;;;;http://fr.wikipedia.org/wiki/Klax_%28jeu_vid%C3%A9o%29
;Plate-forme 2D;Master System 1&2;;1;;Kung fu kid ;;;;;;;;;
;Plate-forme 2D;Master System 1&2;Sega;1;;Moonwalker;;;;;;;;;http://fr.wikipedia.org/wiki/Michael_Jackson%27s_Moonwalker
;Action;Master System 1&2;Atari;1;;Paperboy ;;;;;;;;;http://fr.wikipedia.org/wiki/Paperboy
;Plate-forme 2D;Master System 1&2;Sega;1;;Psycho fox ;;;;;;;;;http://fr.wikipedia.org/wiki/Psycho_Fox
;Stratégie ;Master System 1&2;Atari;1;;Rampart ;;;;;;;;;http://fr.wikipedia.org/wiki/Rampart
;Simulation voiture télécommandées ;Master System 1&2;;1;;RC grand prix ;;;;;;;;;
;Plate-forme 2D;Master System 1&2;Sega;1;;Shinobi;;;;;;;;;http://fr.wikipedia.org/wiki/Shinobi_%28jeu_vid%C3%A9o,_1987%29
;shoot them up;Master System 1&2;Taito;1;;Super space invaders ;;;;;;;;;http://fr.wikipedia.org/wiki/Super_Space_Invaders_%2791
;Plate-forme 2D;Master System 1&2;;1;;The cyber shinobi ;;;;;;;;;
;Plate-forme 2D;Master System 1&2;;1;;The cyber shinobi ;;;;;;;;;
;beat them all;Master System 1&2;Sega;1;;The ninja ;;;;;;;;;http://fr.wikipedia.org/wiki/The_Ninja
;shoot them up;Master System 1&2;Sega;1;;Thunder blade ;;;;;;;;;http://fr.wikipedia.org/wiki/Thunder_Blade
;RPG;Master System 1&2;Origin Systems;1;;Ultima IV ;;;;;;;;;http://fr.wikipedia.org/wiki/Ultima_IV
;;;;1;;;;;;;;;;;
;;;;1;;Megacd (SEGA);;;;;;;;;
;Plate-forme 2D;Megacd 1&2;Sega;1;EU;Ecco the dolphin;france;5;1;3;1;5;;30 €;http://fr.wikipedia.org/wiki/Ecco_the_Dolphin
;Aventure ;Megacd 1&2;Virgin Interactive;1;EU;Dune;france;5;0;3;1;7;;10 €;http://fr.wikipedia.org/wiki/Dune_%28jeu_vid%C3%A9o%29
;shoot them up;Megacd 1&2;Wolfteam;1;EU;Sol-Deace;;5;0;;0;;;5 €;http://fr.wikipedia.org/wiki/Sol-Deace
;;;;1;;;;;;;;;;;
;;;;1;;Megadrive (SEGA);;;;;;;;;
;Plate-forme 2D;Megadrive 1&2 & Nomad;Virgin Interactive;1;;Aladdin ;;;;;;;;;http://fr.wikipedia.org/wiki/Aladdin_%28Virgin%29
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Castle of illusion starring mickey mouse ;;;;;;;;;http://fr.wikipedia.org/wiki/Castle_of_Illusion
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Comix Zone ;;;;;;;;;http://fr.wikipedia.org/wiki/Comix_Zone
;Plate-forme 2D;Megadrive 1&2 & Nomad;Virgin Interactive;1;;Cool spot ;;;;;;;;;http://fr.wikipedia.org/wiki/Cool_Spot
;simulation Basket;Megadrive 1&2 & Nomad;Sega;1;;David robinson's supreme court ;;;;;;;;;http://fr.wikipedia.org/wiki/David_Robinson%27s_Supreme_Court
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Disney tales spin ;;;;;;;;;http://fr.wikipedia.org/wiki/TaleSpin_%28jeu_vid%C3%A9o%29
;Plate-forme 2D;Megadrive 1&2 & Nomad;Disney Interactive;1;;Donald in maui mallard ;;;;;;;;;http://fr.wikipedia.org/wiki/Donald_Duck_in_Maui_Mallard
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Ecco the Dolphin ;;;;;;;;;http://fr.wikipedia.org/wiki/Ecco_the_Dolphin
;Simulation boxe;Megadrive 1&2 & Nomad;Sega;1;;Evander holyfield's boxing ;;;;;;;;;http://fr.wikipedia.org/wiki/Evander_Holyfield%27s_%22Real_Deal%22_Boxing
;Combat 2D;Megadrive 1&2 & Nomad;SNK;1;;Fatal Fury ;;;;;;;;;http://fr.wikipedia.org/wiki/Fatal_Fury:_King_of_Fighters
;Combat 2D;Megadrive 1&2 & Nomad;SNK;1;;Fatal Fury 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/Fatal_Fury_2
;Simulation foot;Megadrive 1&2 & Nomad;EA;1;;fifa 1995 ;;;;;;;;;http://fr.wikipedia.org/wiki/FIFA_Soccer_95
;Simulation foot;Megadrive 1&2 & Nomad;EA;1;;Fifa 1996 ;;;;;;;;;http://fr.wikipedia.org/wiki/FIFA_Soccer_96
;Simulation foot;Megadrive 1&2 & Nomad;EA;1;;Fifa 1997 ;;;;;;;;;http://fr.wikipedia.org/wiki/FIFA_97
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega/Virgin Interactive;1;;Le roi lion ;;;;;;;;;http://fr.wikipedia.org/wiki/Le_Roi_lion_%28jeu_vid%C3%A9o%29
;Simulation voiture télécommandées ;Megadrive 1&2 & Nomad;;1;;Micromachines ;;;;;;;;;
;Simulation voiture;Megadrive 1&2 & Nomad;;1;;Monaco GP 2 ;;;;;;;;;
;Plate-forme 2D;Megadrive 1&2 & Nomad;;1;;Moonwalker;;;;;;;;;
;Combat 2D;Megadrive 1&2 & Nomad;Aklaim Entertainment;1;;Mortal Kombat ;;;;;;;;;http://fr.wikipedia.org/wiki/Mortal_Kombat_%28jeu_vid%C3%A9o,_1992%29
;Combat 2D;Megadrive 1&2 & Nomad;Aklaim Entertainment;1;;Mortal Kombat 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/Mortal_Kombat_II
;Simulation sportive ;Megadrive 1&2 & Nomad;Sega;1;;Olympic gold ;;;;;;;;;http://fr.wikipedia.org/wiki/Olympic_Gold
;Arcade voiture;Megadrive 1&2 & Nomad;Sega;1;;Outrun;;;;;;;;;http://fr.wikipedia.org/wiki/Out_Run
;Plate-forme 2D;Megadrive 1&2 & Nomad;Activision/Atari;1;;Pitfall: The Mayan Adventure ;;;;;;;;;http://fr.wikipedia.org/wiki/Pitfall:_The_Mayan_Adventure
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Quackshot ;;;;;;;;;http://fr.wikipedia.org/wiki/Quackshot
;Plate-forme 2D;Megadrive 1&2 & Nomad;Konami;1;;Rocket knight adventures ;;;;;;;;;http://fr.wikipedia.org/wiki/Rocket_Knight_Adventures
;Plate-forme 3D;Megadrive 1&2 & Nomad;Sega;1;;Sonic 3D Flickies' Island;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_3D_Flickies%27_Island
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Sonic compilation (1,2 et Dr. Robotnik's Mean Bean Machine) ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_Compilation#Sonic_Compilation
;Flipper;Megadrive 1&2 & Nomad;Sega;1;;Sonic spinball ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_the_Hedgehog_Spinball
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Sonic the Hedgehog ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_the_Hedgehog_%28jeu_vid%C3%A9o,_1991%29
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Sonic the Hedgehog 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_the_Hedgehog_2
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Sonic the Hedgehog 3 ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_the_Hedgehog_3
;beat them all;Megadrive 1&2 & Nomad;Sega;1;;Streets of rage ;;;;;;;;;http://fr.wikipedia.org/wiki/Streets_of_Rage
;simulation moto;Megadrive 1&2 & Nomad;Sega;1;;Super Hang-on;;;;;;;;;http://fr.wikipedia.org/wiki/Super_Hang-On
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;Tazmania ;;;;;;;;;http://fr.wikipedia.org/wiki/Taz-Mania
;beat them all;Megadrive 1&2 & Nomad;Konami;1;;Teenage Mutant Hero Turtles: The HyperStone Heist ;;;;;;;;;http://fr.wikipedia.org/wiki/Teenage_Mutant_Hero_Turtles:_The_HyperStone_Heist
;Action;Megadrive 1&2 & Nomad;LJN;1;;The Incredible Crash Dummies ;;;;;;;;;http://fr.wikipedia.org/wiki/The_Incredible_Crash_Dummies_%28jeu_vid%C3%A9o%29
;Plate-forme 2D;Megadrive 1&2 & Nomad;;1;;The lucky dime carer donald duck ;;;;;;;;;
;Simulation sportive ;Megadrive 1&2 & Nomad;U.S. Gold;1;;Winter Olympics;;;;;;;;;http://fr.wikipedia.org/wiki/Winter_Olympics:_Lillehammer_%2794
;Plate-forme 2D;Megadrive 1&2 & Nomad;;1;;Wonder boy III monster land ;;;;;;;;;
;Plate-forme 2D;Megadrive 1&2 & Nomad;Sega;1;;World of illusion starring disney's mickey mouse & donald duck ;;;;;;;;;http://fr.wikipedia.org/wiki/World_of_Illusion
;;;;1;;;;;;;;;;;
;;;;1;;Saturn (SEGA);;;;;;;;;
;Stratégie ;Saturn;Westwood Studios;1;;Command & Conquer ;;;;;;;;;http://fr.wikipedia.org/wiki/Command_%26_Conquer
;;Saturn;;1;JP;Evangelion;;;;;;;;;
;FPS;Saturn;Playmates Interactive;1;;Exhumed ;;;;;;;;;http://fr.wikipedia.org/wiki/Exhumed
;Plate-forme 2D;Saturn;Ubisoft;1;;Rayman ;;;;;;;;;http://fr.wikipedia.org/wiki/Rayman_%28jeu_vid%C3%A9o%29
;Plate-forme 3D;Saturn;Sega;1;;Sonic 3D ;;;;;;;;;http://fr.wikipedia.org/wiki/Sonic_3D_Flickies%27_Island
;Plate-forme 3D;Saturn;Eidos Interactive;1;;Tomb raider ;;;;;;;;;http://fr.wikipedia.org/wiki/Tomb_Raider
;Tir/action ;Saturn;;1;;Tunnel B1 ;;;;;;;;;
;combat 3D;Saturn;Sega;1;;Virtua Fighter ;;;;;;;;;http://fr.wikipedia.org/wiki/Virtua_Fighter
;combat 3D;Saturn;Sega;1;;Virtua Fighter 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/Virtua_Fighter_2
;combat 3D;Saturn;Sega;1;;Virtua Fighter Kids ;;;;;;;;;
;Simulation voiture;Saturn;Sega;1;;Virtua Racing ;;;;;;;;;http://fr.wikipedia.org/wiki/Virtua_Racing
;;;;1;;;;;;;;;;;
;;;;1;;Neo GEO AES (SNK);;;;;;;;;
;;;;1;;;;;;;;;;;
;;;;1;;Playstation (Sony);;;;;;;;;
;Simulation économique ;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Activision;1;;Civilization II ;;;;;;;;;http://fr.wikipedia.org/wiki/Civilization_II
;Stratégie ;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Westwood Studios;1;;Command & conquer alert rouge mission tesla ;;;;;;;;;http://fr.wikipedia.org/wiki/Command_%26_Conquer_:_Alerte_rouge#Missions_Tesla
;hack and slash ;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Blizzard;1;;Diablo ;;;;;;;;;http://fr.wikipedia.org/wiki/Diablo_%28jeu_vid%C3%A9o%29
;FPS;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;GT Interactive;1;;Duke nulem land of the babes ;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Duke_Nukem:_Land_of_the_Babes
;Stratégie ;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Virgin Interactive;1;;Dune 2000 ;;;;;;;;;http://fr.wikipedia.org/wiki/Dune_2000
;combat 3D;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;;1;;Dynasty warriors ;;;;;;;;;
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;SquareEnix;1;EN;Final Fantasy origins;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Final_Fantasy_Origins
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Square;1;EN;Final Fantasy Anthology;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_Anthology
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Square;1;JP;Final Fantasy premium package;;;;;;;;;
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;EN;Final Fantasy VI;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VI
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VII ;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VII ;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VII ;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VII platinium;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VII platinium;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VII platinium;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VII version presse;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;EN;Final Fantasy VII version presse;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;EN;Final Fantasy VII demo sysgraph 95;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VIII demo;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VIII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VIII demo;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VIII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VIII;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VIII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VIII;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VIII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy VIII platinium;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_VIII
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy IX;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_IX
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Squaresoft;1;FR;Final Fantasy IX platinium;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_IX
;Simulation voiture;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Sony;1;;Grand tourismo ;;;;;;;;;http://fr.wikipedia.org/wiki/Gran_Turismo
;FPS;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;EA;1;;Medal of honor ;;;;;;;;;http://fr.wikipedia.org/wiki/Medal_of_Honor_%28jeu_vid%C3%A9o%29
;Infiltration;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Konami;1;;Metal gear solid ;;;;;;;;;http://fr.wikipedia.org/wiki/Metal_Gear_Solid
;simulation Basket;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;EA;1;;NBA live 98 ;;;;;;;;;http://fr.wikipedia.org/wiki/NBA_Live_98
;Simulation voiture;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Sony;1;;Porsche challenge ;;;;;;;;;http://fr.wikipedia.org/wiki/Porsche_Challenge
;Plate-forme 2D;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Ubisoft;1;;Rayman;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Rayman_%28jeu_vid%C3%A9o%29
;Infiltration;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;989 Studios;1;;Syphon filter ;;;;;;;;;http://fr.wikipedia.org/wiki/Syphon_Filter_%28jeu_vid%C3%A9o%29
;Infiltration;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Sony;1;;Syphon filter 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/Syphon_Filter_2
;combat 3D;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Namco;1;;Tekken 3 ;;;;;;;;;http://fr.wikipedia.org/wiki/Tekken_3
;RPG;Playstation & Psone & Playstation 2 & Pstwo & Playstation 3;Sony;1;;Wild arms ;;;;;;;;;http://fr.wikipedia.org/wiki/Wild_Arms
;;;;1;;;;;;;;;;;
;;;;1;;Playstation 2 (Sony);;;;;;;;;
;puzzle game;Playstation 2 & Pstwo & Playstation 3;;1;;Bonanza bros ;;;;;;;;;
;Réflexion;Playstation 2 & Pstwo & Playstation 3;;1;;Buzz le mega quizz ;;;;;;;;;
;Combat 2D;Playstation 2 & Pstwo & Playstation 3;;1;;Capcom VS snk 2 ;;;;;;;;;
;combat 3D;Playstation 2 & Pstwo & Playstation 3;Infogrames/Bandai;1;;Dragon ball Z budokaï ;;;;;;;;;http://fr.wikipedia.org/wiki/Dragon_Ball_Z:_Budokai
;combat 3D;Playstation 2 & Pstwo & Playstation 3;Atari/Bandai;1;;Dragon ball Z budokaï 3 ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Dragon_Ball_Z:_Budokai_3
;combat 3D;Playstation 2 & Pstwo & Playstation 3;Atari;1;;Dragon ball Z budokaï tenkaïchi ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Dragon_Ball_Z:_Budokai_Tenkaichi
;combat 3D;Playstation 2 & Pstwo & Playstation 3;Atari;1;;Dragon ball Z budokaï tenkaïchi 2 ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Dragon_Ball_Z:_Budokai_Tenkaichi_2
;RPG;Playstation 2 & Pstwo & Playstation 3;SquareEnix;1;;Dragon quest VIII ;;;;;;;;;http://fr.wikipedia.org/wiki/Dragon_Quest_VIII
